8.400000000000000000e+01 1.509999999999999964e+01
1.670000000000000000e+02 8.099999999999999645e+00
1.830000000000000000e+02 7.200000000000000178e+00
1.910000000000000000e+02 1.960000000000000142e+01
2.140000000000000000e+02 4.599999999999999645e+00
2.390000000000000000e+02 7.799999999999999822e+00
2.560000000000000000e+02 5.500000000000000000e+00
3.450000000000000000e+02 1.610000000000000142e+01
3.680000000000000000e+02 6.000000000000000000e+00
3.880000000000000000e+02 4.099999999999999645e+00
4.070000000000000000e+02 5.200000000000000178e+00
4.230000000000000000e+02 2.899999999999999911e+00
4.420000000000000000e+02 2.299999999999999822e+00
4.730000000000000000e+02 1.699999999999999956e+00
5.060000000000000000e+02 1.600000000000000089e+00
5.650000000000000000e+02 8.099999999999999645e+00
5.870000000000000000e+02 3.899999999999999911e+00
6.230000000000000000e+02 5.799999999999999822e+00
6.840000000000000000e+02 2.299999999999999822e+00
6.960000000000000000e+02 2.500000000000000000e+00
7.100000000000000000e+02 1.800000000000000044e+00
7.270000000000000000e+02 2.660000000000000142e+01
7.760000000000000000e+02 9.500000000000000000e+00
8.030000000000000000e+02 4.200000000000000178e+00
8.450000000000000000e+02 2.500000000000000000e+00
8.580000000000000000e+02 2.500000000000000000e+00
8.900000000000000000e+02 2.839999999999999858e+01
9.150000000000000000e+02 4.799999999999999822e+00
9.670000000000000000e+02 2.700000000000000178e+00
9.800000000000000000e+02 3.100000000000000089e+00
1.001000000000000000e+03 4.000000000000000000e+00
1.019000000000000000e+03 9.699999999999999289e+00
1.066000000000000000e+03 2.500000000000000000e+00
1.089000000000000000e+03 2.100000000000000089e+00
1.105000000000000000e+03 2.100000000000000089e+00
1.117000000000000000e+03 1.030000000000000071e+01
1.137000000000000000e+03 4.200000000000000178e+00
1.158000000000000000e+03 1.030000000000000071e+01
1.180000000000000000e+03 2.500000000000000000e+00
1.190000000000000000e+03 3.100000000000000089e+00
1.211000000000000000e+03 2.500000000000000000e+00
1.229000000000000000e+03 2.100000000000000089e+00
1.252000000000000000e+03 2.500000000000000000e+00
1.289000000000000000e+03 8.699999999999999289e+00
1.378000000000000000e+03 8.599999999999999645e+00
1.466000000000000000e+03 2.100000000000000089e+00
1.519000000000000000e+03 1.699999999999999956e+00
1.539000000000000000e+03 2.299999999999999822e+00
1.648000000000000000e+03 2.500000000000000000e+00
1.680000000000000000e+03 2.700000000000000178e+00
